#SampleID	type	Groups
Germline	Sexual cell	Sexual cell
Intestinal/rectal_muscle	Digestive	Body wall muscle
Coelomocytes	Immunity	Coelomocytes
Ciliated_sensory_neurons	Neuron	Neuron
Seam_cells	Body	Hypodermic/rectal cell
Non-seam_hypodermis	Body	Hypodermic/rectal cell
Pharyngeal_epithelia	Digestive	Pharinx cell
Touch_receptor_neurons	Neuron	Neuron
Body_wall_muscle	Body	Body wall muscle
Cholinergic_neurons	Neuron	Neuron
Distal_tip_cells	Sexual cell	Sexual cell
Vulval_precursors	Sexual cell	Sexual cell
Other_interneurons	Neuron	Neuron
GABAergic_neurons	Neuron	Neuron
Am/PH_sheath_cells	Body	Excretory/Socket/Sheath cells
Pharyngeal_muscle	Digestive	Pharinx cell
Pharyngeal_neurons	Neuron	Neuron
Oxygen_sensory_neurons	Neuron	Neuron
Somatic_gonad_precursors	Sexual cell	Sexual cell
flp-1(+)_interneurons	Neuron	Neuron
Canal_associated_neurons	Neuron	Neuron
Pharyngeal_gland	Digestive	Pharinx cell
Sex_myoblasts	Sexual cell	Sexual cell
Excretory_cells	Excretion	Excretory/Socket/Sheath cells
Socket_cells	Body	Excretory/Socket/Sheath cells
Rectum	Digestive	Hypodermic/rectal cell
Intestine	Digestive	Intestine
